"game_id","away_team","home_team"
21800127,"Boston Celtics","Indiana Pacers"
21800132,"Los Angeles Lakers","Portland Trail Blazers"
21800129,"Houston Rockets","Chicago Bulls"
21800130,"New Orleans Pelicans","San Antonio Spurs"
21800125,"Detroit Pistons","Philadelphia 76ers"
21800135,"New York Knicks","Washington Wizards"
21800133,"Sacramento Kings","Milwaukee Bucks"
21800138,"Minnesota Timberwolves","Portland Trail Blazers"
21800134,"Philadelphia 76ers","Brooklyn Nets"
21800136,"Memphis Grizzlies","Phoenix Suns"
21800139,"Toronto Raptors","Los Angeles Lakers"
21800137,"Orlando Magic","San Antonio Spurs"
21800144,"New Orleans Pelicans","Oklahoma City Thunder"
21800145,"Boston Celtics","Denver Nuggets"
21800141,"Houston Rockets","Indiana Pacers"
21800146,"Toronto Raptors","Utah Jazz"
21800140,"Miami Heat","Detroit Pistons"
21800142,"Cleveland Cavaliers","Orlando Magic"
21800148,"Minnesota Timberwolves","LA Clippers"
21800143,"Chicago Bulls","New York Knicks"
21800147,"Memphis Grizzlies","Golden State Warriors"
21800149,"Atlanta Hawks","Charlotte Hornets"
21800150,"Washington Wizards","Dallas Mavericks"
21800152,"Milwaukee Bucks","Portland Trail Blazers"
21800151,"Brooklyn Nets","Phoenix Suns"
21800159,"Chicago Bulls","New Orleans Pelicans"
21800158,"Denver Nuggets","Memphis Grizzlies"
21800161,"Toronto Raptors","Sacramento Kings"
21800155,"New York Knicks","Atlanta Hawks"
21800157,"Philadelphia 76ers","Indiana Pacers"
21800160,"Dallas Mavericks","Utah Jazz"
21800156,"San Antonio Spurs","Miami Heat"
21800153,"Oklahoma City Thunder","Cleveland Cavaliers"
21800154,"Detroit Pistons","Orlando Magic"
21800162,"Minnesota Timberwolves","Los Angeles Lakers"
21800163,"Houston Rockets","Oklahoma City Thunder"
21800165,"LA Clippers","Portland Trail Blazers"
21800164,"Boston Celtics","Phoenix Suns"
21800166,"Milwaukee Bucks","Golden State Warriors"
21800171,"Brooklyn Nets","Denver Nuggets"
21800173,"Minnesota Timberwolves","Sacramento Kings"
21800169,"Detroit Pistons","Atlanta Hawks"
21800172,"Boston Celtics","Utah Jazz"
21800170,"Indiana Pacers","Miami Heat"
21800167,"Washington Wizards","Orlando Magic"
21800168,"Charlotte Hornets","Philadelphia 76ers"
21800176,"Phoenix Suns","New Orleans Pelicans"
21800179,"Philadelphia 76ers","Memphis Grizzlies"
21800174,"New York Knicks","Toronto Raptors"
21800183,"Los Angeles Lakers","Sacramento Kings"
21800181,"Oklahoma City Thunder","Dallas Mavericks"
21800177,"Washington Wizards","Miami Heat"
21800175,"Milwaukee Bucks","LA Clippers"
21800178,"Cleveland Cavaliers","Chicago Bulls"
21800180,"Houston Rockets","San Antonio Spurs"
21800182,"Brooklyn Nets","Golden State Warriors"
21800187,"Milwaukee Bucks","Denver Nuggets"
21800188,"Boston Celtics","Portland Trail Blazers"
21800184,"Charlotte Hornets","Detroit Pistons"
21800185,"Indiana Pacers","Houston Rockets"
21800186,"Orlando Magic","New York Knicks"
21800189,"Atlanta Hawks","Los Angeles Lakers"
21800194,"Utah Jazz","Memphis Grizzlies"
21800196,"Phoenix Suns","Oklahoma City Thunder"
21800192,"New Orleans Pelicans","Toronto Raptors"
21800190,"Orlando Magic","Washington Wizards"
21800195,"Brooklyn Nets","Minnesota Timberwolves"
21800197,"San Antonio Spurs","Sacramento Kings"
21800191,"Philadelphia 76ers","Miami Heat"
21800198,"Golden State Warriors","LA Clippers"
21800193,"Dallas Mavericks","Chicago Bulls"
21800200,"Houston Rockets","Denver Nuggets"
21800199,"Charlotte Hornets","Cleveland Cavaliers"
21800201,"Atlanta Hawks","Golden State Warriors"
21800209,"New York Knicks","Oklahoma City Thunder"
21800206,"Detroit Pistons","Toronto Raptors"
21800203,"Cleveland Cavaliers","Washington Wizards"
21800208,"New Orleans Pelicans","Minnesota Timberwolves"
21800210,"Utah Jazz","Dallas Mavericks"
21800207,"Memphis Grizzlies","Milwaukee Bucks"
21800202,"Philadelphia 76ers","Orlando Magic"
21800204,"Chicago Bulls","Boston Celtics"
21800205,"Miami Heat","Brooklyn Nets"
21800211,"San Antonio Spurs","Phoenix Suns"
21800212,"Portland Trail Blazers","Los Angeles Lakers"
21800214,"Atlanta Hawks","Denver Nuggets"
21800213,"Golden State Warriors","Houston Rockets"
21800215,"San Antonio Spurs","LA Clippers"
21800222,"New York Knicks","New Orleans Pelicans"
21800220,"Sacramento Kings","Memphis Grizzlies"
21800219,"Brooklyn Nets","Washington Wizards"
21800221,"Portland Trail Blazers","Minnesota Timberwolves"
21800217,"Miami Heat","Indiana Pacers"
21800223,"Chicago Bulls","Milwaukee Bucks"
21800216,"Toronto Raptors","Boston Celtics"
21800218,"Utah Jazz","Philadelphia 76ers"
21800228,"Denver Nuggets","New Orleans Pelicans"
21800225,"Philadelphia 76ers","Charlotte Hornets"
21800232,"Golden State Warriors","Dallas Mavericks"
21800226,"Atlanta Hawks","Indiana Pacers"
21800231,"Sacramento Kings","Houston Rockets"
21800227,"Los Angeles Lakers","Orlando Magic"
21800229,"Utah Jazz","Boston Celtics"
21800224,"LA Clippers","Brooklyn Nets"
21800233,"Oklahoma City Thunder","Phoenix Suns"
21800230,"Toronto Raptors","Chicago Bulls"
21800237,"Portland Trail Blazers","Washington Wizards"
21800234,"Memphis Grizzlies","Minnesota Timberwolves"
21800235,"Los Angeles Lakers","Miami Heat"
21800236,"New York Knicks","Orlando Magic"
21800238,"Golden State Warriors","San Antonio Spurs"
21800246,"San Antonio Spurs","New Orleans Pelicans"
21800244,"Dallas Mavericks","Memphis Grizzlies"
21800239,"Boston Celtics","Charlotte Hornets"
21800247,"Oklahoma City Thunder","Sacramento Kings"
21800243,"LA Clippers","Atlanta Hawks"
21800241,"Utah Jazz","Indiana Pacers"
21800245,"Denver Nuggets","Milwaukee Bucks"
21800240,"Cleveland Cavaliers","Detroit Pistons"
21800242,"Phoenix Suns","Philadelphia 76ers"
21800249,"LA Clippers","Washington Wizards"
21800250,"Brooklyn Nets","Miami Heat"
21800248,"Toronto Raptors","Orlando Magic"
21800251,"Portland Trail Blazers","New York Knicks"
21800252,"Indiana Pacers","Charlotte Hornets"
21800260,"Denver Nuggets","Minnesota Timberwolves"
21800254,"Toronto Raptors","Atlanta Hawks"
21800261,"Brooklyn Nets","Dallas Mavericks"
21800259,"Portland Trail Blazers","Milwaukee Bucks"
21800263,"Sacramento Kings","Utah Jazz"
21800258,"Detroit Pistons","Houston Rockets"
21800256,"Los Angeles Lakers","Cleveland Cavaliers"
21800255,"New York Knicks","Boston Celtics"
21800257,"Phoenix Suns","Chicago Bulls"
21800262,"Memphis Grizzlies","San Antonio Spurs"
21800264,"Oklahoma City Thunder","Golden State Warriors"
21800253,"New Orleans Pelicans","Philadelphia 76ers"
21800274,"Charlotte Hornets","Oklahoma City Thunder"
21800271,"Washington Wizards","Toronto Raptors"
21800276,"Orlando Magic","Denver Nuggets"
21800268,"Boston Celtics","Atlanta Hawks"
21800272,"San Antonio Spurs","Indiana Pacers"
21800275,"Phoenix Suns","Milwaukee Bucks"
21800267,"Houston Rockets","Detroit Pistons"
21800266,"Memphis Grizzlies","LA Clippers"
21800265,"Minnesota Timberwolves","Brooklyn Nets"
21800269,"New Orleans Pelicans","New York Knicks"
21800273,"Miami Heat","Chicago Bulls"
21800278,"Utah Jazz","Los Angeles Lakers"
21800277,"Portland Trail Blazers","Golden State Warriors"
21800270,"Cleveland Cavaliers","Philadelphia 76ers"
21800282,"Denver Nuggets","Oklahoma City Thunder"
21800280,"New Orleans Pelicans","Washington Wizards"
21800281,"Chicago Bulls","Minnesota Timberwolves"
21800283,"Boston Celtics","Dallas Mavericks"
21800284,"San Antonio Spurs","Milwaukee Bucks"
21800279,"Houston Rockets","Cleveland Cavaliers"
21800285,"Sacramento Kings","Golden State Warriors"
21800291,"New York Knicks","Memphis Grizzlies"
21800290,"Miami Heat","Toronto Raptors"
21800292,"Utah Jazz","Sacramento Kings"
21800288,"Charlotte Hornets","Atlanta Hawks"
21800293,"LA Clippers","Portland Trail Blazers"
21800287,"Phoenix Suns","Detroit Pistons"
21800289,"Philadelphia 76ers","Brooklyn Nets"
21800286,"Orlando Magic","Los Angeles Lakers"
21800298,"Boston Celtics","New Orleans Pelicans"
21800296,"Houston Rockets","Washington Wizards"
21800294,"Milwaukee Bucks","Charlotte Hornets"
21800299,"Indiana Pacers","Utah Jazz"
21800295,"Minnesota Timberwolves","Cleveland Cavaliers"
21800297,"San Antonio Spurs","Chicago Bulls"
21800300,"Orlando Magic","Golden State Warriors"
21800303,"Toronto Raptors","Memphis Grizzlies"
21800304,"Los Angeles Lakers","Denver Nuggets"
21800301,"New York Knicks","Detroit Pistons"
21800302,"Atlanta Hawks","Miami Heat"
21800305,"Indiana Pacers","Phoenix Suns"
21800312,"Washington Wizards","New Orleans Pelicans"
21800313,"Cleveland Cavaliers","Oklahoma City Thunder"
21800311,"San Antonio Spurs","Minnesota Timberwolves"
21800306,"Atlanta Hawks","Charlotte Hornets"
21800310,"Chicago Bulls","Milwaukee Bucks"
21800314,"Orlando Magic","Portland Trail Blazers"
21800309,"Dallas Mavericks","Houston Rockets"
21800315,"Phoenix Suns","LA Clippers"
21800308,"Utah Jazz","Brooklyn Nets"
21800307,"New York Knicks","Philadelphia 76ers"
21800316,"Golden State Warriors","Toronto Raptors"
21800318,"LA Clippers","Sacramento Kings"
21800317,"Indiana Pacers","Los Angeles Lakers"
21800325,"Atlanta Hawks","Oklahoma City Thunder"
21800320,"Utah Jazz","Charlotte Hornets"
21800329,"Denver Nuggets","Portland Trail Blazers"
21800321,"Chicago Bulls","Detroit Pistons"
21800324,"New Orleans Pelicans","Miami Heat"
21800319,"Cleveland Cavaliers","Boston Celtics"
21800323,"Memphis Grizzlies","Brooklyn Nets"
21800327,"Orlando Magic","Phoenix Suns"
21800328,"Dallas Mavericks","Los Angeles Lakers"
21800326,"Houston Rockets","San Antonio Spurs"
21800322,"Washington Wizards","Philadelphia 76ers"
21800333,"Brooklyn Nets","Washington Wizards"
21800335,"Boston Celtics","Minnesota Timberwolves"
21800336,"Indiana Pacers","Sacramento Kings"
21800331,"Golden State Warriors","Detroit Pistons"
21800334,"Chicago Bulls","Houston Rockets"
21800332,"Toronto Raptors","Cleveland Cavaliers"
21800330,"Milwaukee Bucks","New York Knicks"
21800338,"New Orleans Pelicans","Charlotte Hornets"
21800341,"LA Clippers","Dallas Mavericks"
21800339,"Utah Jazz","Miami Heat"
21800337,"Phoenix Suns","Los Angeles Lakers"
21800342,"Portland Trail Blazers","San Antonio Spurs"
21800340,"Memphis Grizzlies","Philadelphia 76ers"
21800349,"LA Clippers","New Orleans Pelicans"
21800347,"Denver Nuggets","Toronto Raptors"
21800348,"Houston Rockets","Minnesota Timberwolves"
21800344,"Golden State Warriors","Atlanta Hawks"
21800343,"Oklahoma City Thunder","Detroit Pistons"
21800345,"Cleveland Cavaliers","Brooklyn Nets"
21800346,"Washington Wizards","New York Knicks"
21800352,"Portland Trail Blazers","Dallas Mavericks"
21800350,"Chicago Bulls","Indiana Pacers"
21800354,"San Antonio Spurs","Utah Jazz"
21800351,"Orlando Magic","Miami Heat"
21800353,"Sacramento Kings","Phoenix Suns"
21800363,"Dallas Mavericks","New Orleans Pelicans"
21800360,"LA Clippers","Memphis Grizzlies"
21800359,"Philadelphia 76ers","Toronto Raptors"
21800362,"Charlotte Hornets","Minnesota Timberwolves"
21800357,"Washington Wizards","Atlanta Hawks"
21800361,"Detroit Pistons","Milwaukee Bucks"
21800355,"Golden State Warriors","Cleveland Cavaliers"
21800356,"Denver Nuggets","Orlando Magic"
21800358,"Oklahoma City Thunder","Brooklyn Nets"
21800364,"San Antonio Spurs","Los Angeles Lakers"
21800367,"Houston Rockets","Utah Jazz"
21800366,"Phoenix Suns","Portland Trail Blazers"
21800365,"New York Knicks","Boston Celtics"
21800374,"Memphis Grizzlies","New Orleans Pelicans"
21800368,"Denver Nuggets","Charlotte Hornets"
21800377,"Golden State Warriors","Milwaukee Bucks"
21800369,"Philadelphia 76ers","Detroit Pistons"
21800372,"Sacramento Kings","Cleveland Cavaliers"
21800370,"Indiana Pacers","Orlando Magic"
21800371,"Toronto Raptors","Brooklyn Nets"
21800376,"Miami Heat","Phoenix Suns"
21800373,"Oklahoma City Thunder","Chicago Bulls"
21800375,"Los Angeles Lakers","San Antonio Spurs"
21800384,"Los Angeles Lakers","Memphis Grizzlies"
21800380,"Denver Nuggets","Atlanta Hawks"
21800378,"Houston Rockets","Dallas Mavericks"
21800379,"Sacramento Kings","Indiana Pacers"
21800385,"Minnesota Timberwolves","Portland Trail Blazers"
21800381,"Washington Wizards","Cleveland Cavaliers"
21800386,"Miami Heat","LA Clippers"
21800382,"Brooklyn Nets","New York Knicks"
21800383,"Boston Celtics","Chicago Bulls"
21800388,"Milwaukee Bucks","Toronto Raptors"
21800387,"New Orleans Pelicans","Detroit Pistons"
21800389,"Charlotte Hornets","New York Knicks"
21800390,"Utah Jazz","San Antonio Spurs"
21800396,"Utah Jazz","Oklahoma City Thunder"
21800398,"Memphis Grizzlies","Denver Nuggets"
21800397,"Orlando Magic","Dallas Mavericks"
21800391,"Washington Wizards","Indiana Pacers"
21800395,"Cleveland Cavaliers","Milwaukee Bucks"
21800393,"New Orleans Pelicans","Boston Celtics"
21800399,"LA Clippers","Phoenix Suns"
21800394,"Sacramento Kings","Chicago Bulls"
21800401,"Miami Heat","Los Angeles Lakers"
21800400,"Minnesota Timberwolves","Golden State Warriors"
21800392,"Detroit Pistons","Philadelphia 76ers"
21800402,"Portland Trail Blazers","Houston Rockets"
21800404,"Toronto Raptors","LA Clippers"
21800403,"Phoenix Suns","San Antonio Spurs"
21800411,"Oklahoma City Thunder","New Orleans Pelicans"
21800410,"Portland Trail Blazers","Memphis Grizzlies"
21800409,"Boston Celtics","Washington Wizards"
21800405,"Detroit Pistons","Charlotte Hornets"
21800414,"Minnesota Timberwolves","Sacramento Kings"
21800412,"Atlanta Hawks","Dallas Mavericks"
21800407,"Milwaukee Bucks","Indiana Pacers"
21800413,"Miami Heat","Utah Jazz"
21800406,"New York Knicks","Cleveland Cavaliers"
21800415,"Toronto Raptors","Golden State Warriors"
21800408,"Brooklyn Nets","Philadelphia 76ers"
21800416,"Los Angeles Lakers","Houston Rockets"
21800418,"Chicago Bulls","Orlando Magic"
21800419,"Dallas Mavericks","Phoenix Suns"
21800417,"LA Clippers","San Antonio Spurs"
21800425,"Miami Heat","Memphis Grizzlies"
21800421,"New York Knicks","Charlotte Hornets"
21800426,"Oklahoma City Thunder","Denver Nuggets"
21800428,"Golden State Warriors","Sacramento Kings"
21800427,"Toronto Raptors","Portland Trail Blazers"
21800423,"Milwaukee Bucks","Cleveland Cavaliers"
21800420,"Atlanta Hawks","Boston Celtics"
21800422,"Washington Wizards","Brooklyn Nets"
21800424,"Indiana Pacers","Philadelphia 76ers"
21800434,"LA Clippers","Oklahoma City Thunder"
21800432,"Houston Rockets","Memphis Grizzlies"
21800430,"Los Angeles Lakers","Charlotte Hornets"
21800431,"Boston Celtics","Detroit Pistons"
21800429,"Utah Jazz","Orlando Magic"
21800435,"Minnesota Timberwolves","Phoenix Suns"
21800433,"Chicago Bulls","San Antonio Spurs"
